,PlantCode,GenID,bus,FuelType,Pg,Pmax,Pmin,Qg,Qmax,Qmin,Lat,Lon,pow_gen,gen_carbon_emission_rate
334,52086,TG3,1920,Natural Gas Fired Combustion Turbine,3.40002494,3.4,0,0,24.5645161,-14.3219355,36.1556,-120.3972,3.400000996,0.44
335,52086,TG4,1920,Natural Gas Fired Combustion Turbine,3.40002494,3.4,0,0,24.5645161,-14.3219355,36.1556,-120.3972,3.400000996,0.44
336,52096,GEN1,539,Natural Gas Fired Combustion Turbine,4.662803,21.4,0,0,24.5645161,-14.3219355,34.38407,-118.494882,21.40000098,0.44
337,52096,GEN2,539,Natural Gas Fired Combustion Turbine,4.662803,21.4,0,0,24.5645161,-14.3219355,34.38407,-118.494882,21.40000098,0.44
338,52099,GEN1,714,Other Waste Biomass,0.0,3.0,0,0,13.9,-9.5,33.6433,-117.9556,3.000000977,0.23
339,52099,GEN2,714,Other Waste Biomass,0.0,3.0,0,0,13.9,-9.5,33.6433,-117.9556,3.000000977,0.23
340,52099,GEN3,714,Other Waste Biomass,0.0,3.0,0,0,13.9,-9.5,33.6433,-117.9556,3.000000977,0.23
341,52099,GEN4,714,Other Waste Biomass,0.0,3.0,0,0,13.9,-9.5,33.6433,-117.9556,3.000000977,0.23
342,52099,GEN5,714,Other Waste Biomass,0.0,3.0,0,0,13.9,-9.5,33.6433,-117.9556,3.000000977,0.23
343,52099,GEN6,714,Other Waste Biomass,0.0,1.0,0,0,13.9,-9.5,33.6433,-117.9556,1.000000977,0.23
344,52107,101A,1924,Natural Gas Fired Combustion Turbine,7.70487614,24.4,0,0,11.8,-8.1,35.4406,-118.9617,24.40000099,0.44
345,52107,101B,1924,Natural Gas Fired Combustion Turbine,7.70487614,24.4,0,0,11.8,-8.1,35.4406,-118.9617,24.40000099,0.44
346,52109,GEN1,1599,Natural Gas Fired Combined Cycle,62.6004624,62.6,0,0,47.0,-20.9,37.9418,-122.3909,62.60000081,0.44
347,52109,GEN2,1599,Natural Gas Fired Combined Cycle,62.6004624,62.6,0,0,47.0,-20.9,37.9418,-122.3909,62.60000081,0.44
348,52109,GEN5,1599,Natural Gas Fired Combined Cycle,15.8975997,30.4,0,0,18.8,-10.1,37.9418,-122.3909,30.40000081,0.44
349,52147,GEN1,1557,Natural Gas Fired Combustion Turbine,9.20006784,9.2,0,0,7.0,-3.1,32.6947,-117.1436,9.200000995,0.44
350,52147,GEN2,1557,Natural Gas Fired Combustion Turbine,10.0000737,10.0,0,0,7.0,-3.1,32.6947,-117.1436,10.00000099,0.44
351,52147,GEN3,1557,Natural Gas Fired Combustion Turbine,10.0000737,10.0,0,0,7.0,-3.1,32.6947,-117.1436,10.00000099,0.44
352,52186,GEN1,1753,Natural Gas Fired Combustion Turbine,49.0003588,49.0,0,0,23.7,-16.3,39.13667,-121.639846,43.57032163,0.44
353,54015,GEN2,465,Landfill Gas,0.0,6.8,0,0,23.1666667,-13.7,34.033206,-117.906129,6.800000979,0.11
354,54038,GEN1,1717,Geothermal,21.6001596,21.6,0,0,13.1222222,-7.60444444,32.7757,-115.2637,21.599999,0.038
355,54296,BATT,446,Batteries,0.300001532,0.3,0,0,0.0,0.0,33.906953,-118.013105,0.30000098,0.0
356,54296,EG1,446,Natural Gas Internal Combustion Engine,0.600004363,0.6,0,0,61.5666667,-27.3666667,33.906953,-118.013105,0.60000098,0.44
357,54296,EG2,446,Natural Gas Internal Combustion Engine,0.600004363,0.6,0,0,61.5666667,-27.3666667,33.906953,-118.013105,0.60000098,0.44
358,54296,EG3,446,Natural Gas Internal Combustion Engine,1.00000733,1.0,0,0,61.5666667,-27.3666667,33.906953,-118.013105,1.00000098,0.44
359,54337,1,1116,Natural Gas Internal Combustion Engine,0.800005847,0.8,0,0,61.5666667,-27.3666667,32.7149,-117.1689,0.800000995,0.44
360,54337,2,1116,Natural Gas Internal Combustion Engine,0.800005847,0.8,0,0,61.5666667,-27.3666667,32.7149,-117.1689,0.800000995,0.44
361,54410,CTG,1668,Natural Gas Fired Combustion Turbine,27.6983869,27.7,0,0,13.4,-9.2,35.440539,-119.012861,27.70000099,0.44
362,54449,T1,1937,Natural Gas Fired Combustion Turbine,3.00002198,3.0,0,0,24.5645161,-14.3219355,35.220833,-119.583056,3.000000984,0.44
363,54449,T2,1937,Natural Gas Fired Combustion Turbine,3.00002198,3.0,0,0,24.5645161,-14.3219355,35.220833,-119.583056,3.000000984,0.44
364,54451,G1,1703,Other Natural Gas,0.0,10.0,0,0,0.0,0.0,33.7686,-118.2867,10.00000097,0.44
365,54451,G2,1703,Other Gases,51.6471993,58.5,0,0,43.9,-19.5,33.7686,-118.2867,58.50000097,0.77656
366,54567,1,7649,Landfill Gas,0.0,0.6,0,0,23.1666667,-13.7,38.596283,-121.687518,0.60000092,0.11
367,54567,2,7649,Landfill Gas,0.0,0.6,0,0,23.1666667,-13.7,38.596283,-121.687518,0.60000092,0.11
368,54567,3,7649,Landfill Gas,0.0,0.6,0,0,23.1666667,-13.7,38.596283,-121.687518,0.60000092,0.11
369,54567,4,7649,Landfill Gas,0.0,0.6,0,0,23.1666667,-13.7,38.596283,-121.687518,0.60000092,0.11
370,54567,5,7649,Landfill Gas,0.0,0.4,0,0,23.1666667,-13.7,38.596283,-121.687518,0.40000092,0.11
371,54689,1,1721,Geothermal,52.0003841,52.0,0,0,13.1222222,-7.60444444,32.7146,-115.518,51.9999999,0.038
372,54689,2,1721,Geothermal,7.00005171,7.0,0,0,13.1222222,-7.60444444,32.7146,-115.518,6.9999999,0.038
373,54689,3,1721,Geothermal,3.50002586,3.5,0,0,13.1222222,-7.60444444,32.7146,-115.518,3.4999999,0.038
374,54689,4,1721,Geothermal,19.0001404,19.0,0,0,13.1222222,-7.60444444,32.7146,-115.518,18.9999999,0.038
375,54912,GTG1,1592,Natural Gas Fired Combined Cycle,40.0002954,40.0,0,0,24.8,-13.3,38.0169,-122.1117,40.00000079,0.44
376,54912,GTG2,1592,Natural Gas Fired Combined Cycle,40.0002954,40.0,0,0,24.8,-13.3,38.0169,-122.1117,40.00000079,0.44
377,54912,STG1,1592,Other Gases,11.2823805,20.0,0,0,12.4,-6.7,38.0169,-122.1117,20.00000079,0.77656
